[2026-07-29T15:30:44.895+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Schottenring. Delay: 48.0 seconds.
[2026-07-29T15:30:44.895+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Karlsplatz. Delay: 0.0 seconds.
[2026-07-29T15:30:44.896+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Rathaus. Delay: 49.0 seconds.
[2026-07-29T15:30:44.896+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Volkstheater. Delay: 199.0 seconds.
[2026-07-29T15:30:44.896+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Praterstern. Delay: -71.0 seconds.
[2026-07-29T15:30:44.896+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Aspernstraße. Delay: -11.0 seconds.
[2026-07-29T15:30:44.896+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Museumsquartier. Delay: 139.0 seconds.
[2026-07-29T15:30:44.896+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Stadion. Delay: -35.0 seconds.
[2026-07-29T15:30:44.896+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Stadlau. Delay: 61.0 seconds.
[2026-07-29T15:30:44.897+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Donauspital. Delay: -23.0 seconds.
[2026-07-29T15:30:44.897+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Schottentor. Delay: 37.0 seconds.
[2026-07-29T15:30:44.897+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Krieau. Delay: -21.0 seconds.
[2026-07-29T15:30:44.897+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Taborstraße. Delay: -38.0 seconds.
[2026-07-29T15:30:44.897+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Donaustadtbrücke. Delay: 40.0 seconds.
[2026-07-29T15:30:44.897+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Hardeggasse. Delay: -9.0 seconds.
[2026-07-29T15:30:44.897+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Messe. Delay: -31.0 seconds.
[2026-07-29T15:30:44.898+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Donaumarina. Delay: 33.0 seconds.
[2026-07-29T15:30:44.898+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Museumsquartier. Delay: -41.0 seconds.
[2026-07-29T15:30:44.898+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Messe. Delay: 79.0 seconds.
[2026-07-29T15:30:44.898+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Taborstraße. Delay: 32.0 seconds.
[2026-07-29T15:30:44.898+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Volkstheater. Delay: -51.0 seconds.
[2026-07-29T15:30:44.898+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Schottentor. Delay: -19.0 seconds.
[2026-07-29T15:30:44.898+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Krieau. Delay: 62.0 seconds.
[2026-07-29T15:30:44.898+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Praterstern. Delay: 36.0 seconds.
[2026-07-29T15:30:44.899+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Rathaus. Delay: -52.0 seconds.
[2026-07-29T15:30:44.899+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Schottenring. Delay: 23.0 seconds.
[2026-07-29T15:30:44.899+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Hausfeldstraße. Delay: 0.0 seconds.
[2026-07-29T15:30:44.899+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Seestadt. Delay: 0.0 seconds.
[2026-07-29T15:30:44.899+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Lina-Loos-Platz. Delay: 29.0 seconds.
[2026-07-29T15:30:44.899+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Karlsplatz at Aspern Nord. Delay: 0.0 seconds.
[2026-07-29T15:30:44.899+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Stadion. Delay: 139.0 seconds.
[2026-07-29T15:30:44.899+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Aspern Nord. Delay: 79.0 seconds.
[2026-07-29T15:30:44.900+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Hardeggasse. Delay: 19.0 seconds.
[2026-07-29T15:30:44.900+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Lina-Loos-Platz. Delay: 49.0 seconds.
[2026-07-29T15:30:44.900+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Donaumarina. Delay: 101.0 seconds.
[2026-07-29T15:30:44.900+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Donauspital. Delay: 30.0 seconds.
[2026-07-29T15:30:44.900+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Hausfeldstraße. Delay: 80.0 seconds.
[2026-07-29T15:30:44.900+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Donaustadtbrücke. Delay: 95.0 seconds.
[2026-07-29T15:30:44.900+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Aspernstraße. Delay: 34.0 seconds.
[2026-07-29T15:30:44.901+0000] {subprocess.py:93} INFO -   -> Success: Pulled U2 to Seestadt at Stadlau. Delay: 72.0 seconds.
[2026-07-29T15:30:44.901+0000] {subprocess.py:93} INFO -   -> Success: Pulled U4 to Landstraße at Ober St. Veit. Delay: 19.0 seconds.
